Internal,External,Mapping Name
10,VPS,Business_Line_Override
15,VPS,Business_Line_Override
20,VPS,Business_Line_Override
30,VPS,Business_Line_Override
31,VPS,Business_Line_Override
32,VPS,Business_Line_Override
33,VPS,Business_Line_Override
39,VPS,Business_Line_Override
40,AVG,Business_Line_Override
45,AVG,Business_Line_Override
70,AVR,Business_Line_Override
75,CEP,Business_Line_Override
90,TRE,Business_Line_Override
91,CTV,Business_Line_Override
92,AVG,Business_Line_Override
95,TRE,Business_Line_Override
96,AVI,Business_Line_Override
97,VIS,Business_Line_Override
800516,CTV,Business_Line_Override
800612,CTV,Business_Line_Override
802301,CTV,Business_Line_Override
802306,CTV,Business_Line_Override
802311,CTV,Business_Line_Override
801301,CTV,Business_Line_Override
801306,CTV,Business_Line_Override
852301,CTV,Business_Line_Override
851301,CTV,Business_Line_Override
FI2_DIV,TRE,Business_Line_Override
FI1661,TRE,Business_Line_Override
FI1811,TRE,Business_Line_Override
FI1814,TRE,Business_Line_Override
FI1821,TRE,Business_Line_Override
FI1221,TRE,Business_Line_Override
FI2082,TRE,Business_Line_Override
FI2514,TRE,Business_Line_Override
FI2711,TRE,Business_Line_Override
FI2761,TRE,Business_Line_Override
FI20111,TRE,Business_Line_Override
FI20211,TRE,Business_Line_Override
FI20811,TRE,Business_Line_Override
FI20841,TRE,Business_Line_Override
FI20851,TRE,Business_Line_Override
FI2121,TRE,Business_Line_Override
FI2131,TRE,Business_Line_Override
FI2211,TRE,Business_Line_Override
FI2491,TRE,Business_Line_Override
FI8911,TRE,Business_Line_Override
FI8931,TRE,Business_Line_Override
FI8312,TRE,Business_Line_Override
FI8411,TRE,Business_Line_Override
FI8412,TRE,Business_Line_Override
FI8413,TRE,Business_Line_Override
FI8415,TRE,Business_Line_Override
FI84411,TRE,Business_Line_Override
FI84412,TRE,Business_Line_Override
FI5536,TRE,Business_Line_Override
BL10,AVI,Business_Line_Override
BL17,AVG,Business_Line_Override
BL22,CTB,Business_Line_Override
BL25,AVR,Business_Line_Override
BL27,VIS,Business_Line_Override
BL28,VGS,Business_Line_Override
BL29,VPS,Business_Line_Override
BL30,VCS,Business_Line_Override
BL32,CEP,Business_Line_Override
BL33,VTBA,Business_Line_Override
BL34,PCC,Business_Line_Override
BL35,STP,Business_Line_Override
BL36,CTV,Business_Line_Override
BL38,SPC,Business_Line_Override
BL98,VTB,Business_Line_Override
30,VPS,Business_Line_Override
31,VPS,Business_Line_Override
32,VPS,Business_Line_Override
33,VPS,Business_Line_Override
39,VPS,Business_Line_Override
40,AVG,Business_Line_Override
45,AVG,Business_Line_Override
70,AVR,Business_Line_Override
75,CEP,Business_Line_Override
91,CTV,Business_Line_Override
92,AVG,Business_Line_Override
96,AVI,Business_Line_Override
97,VIS,Business_Line_Override
CEP,CEP,Business_Line_Override
AVI,AVI,Business_Line_Override
AVR,AVR,Business_Line_Override
CEP,CEP,Business_Line_Override
NVC,VTB,Business_Line_Override
PRE,VTB,Business_Line_Override
VCS,VCS,Business_Line_Override
VGS,VGS,Business_Line_Override
VIS,VIS,Business_Line_Override
VPS,VPS,Business_Line_Override
VTB,VTB,Business_Line_Override
AVG,AVG,Business_Line_Override
